Time,Tension in Muscle,Diameter of Seg 3
0,0.0,0.32
1,0.33524361541216746,0.3200012706383209
2,0.3416083629577494,0.3199800696947219
3,0.3476409867552997,0.31995764867506177
4,0.3537486105192502,0.3199368243917159
5,0.36004412935629115,0.319918343096735
6,0.3665188435021461,0.31990211463481794
7,0.3731233460526837,0.3198877774307159
8,0.3798035979412698,0.3198749418786138
9,0.3865149445131255,0.31986327620765537
10,0.3932256445964737,0.3198525205833416
11,0.39991584370117694,0.3198424728568099
12,0.40657502232657017,0.3198329746543078
13,0.41319906356060143,0.31982388897604014
14,0.41978805832903715,0.3198150943896835
15,0.42634143399041147,0.3198064716821648
16,0.43282562512193506,0.3197978964568834
17,0.4392576100605694,0.3197892479660227
18,0.4456594309320327,0.31978040525565765
19,0.4520382906604753,0.3197712663225727
20,0.45840371486605613,0.31976173928951146
21,0.4647622280028677,0.3197517693876317
22,0.4711111650946642,0.3197413032261541
23,0.47744883066732574,0.31973031719164313
24,0.483772694030628,0.31971880275673875
25,0.490081220311412,0.3197067673786961
26,0.49637371530958196,0.31969422850709084
27,0.5026503168185161,0.3196812104081717
28,0.5089118361489915,0.3196677375934202
29,0.5151611705175745,0.31965387760731895
30,0.5214178155724118,0.31963962440759136
31,0.5277005975848142,0.31962503239446005
32,0.5340171809646115,0.31961016482047794
33,0.540373301795321,0.31959507961892014
34,0.5467691097463357,0.31957983724343203
35,0.5532027336423071,0.3195644959107657
36,0.5596696059401114,0.31954910795318886
37,0.5661441975287521,0.3195337193342023
38,0.5726154256096363,0.3195183672137029
39,0.5790846445474329,0.3195030803144261
40,0.5855522450846264,0.31948787684812224
41,0.5920182967491314,0.3194727693522004
42,0.5984823262490595,0.31945776279772714
43,0.6049436872580556,0.3194428565147052
44,0.6114016469782511,0.3194280452263029
45,0.6178554460435794,0.3194133204332241
46,0.624304301897571,0.31939866932163496
47,0.6307475332019079,0.31938407872885793
48,0.6371845726126806,0.319369533425617
49,0.6436148160959998,0.3193550172740313
50,0.6500377612187203,0.3193405137588479
51,0.6564530019176877,0.3193260063970091
52,0.6628602257833675,0.3193114790747495
53,0.6692592115226019,0.31929691631929524
54,0.6756498255911769,0.31928230351203035
55,0.6820320175406013,0.3192676256730065
56,0.6884052631591235,0.3192528721145273
