Time,Tension in Muscle,Diameter of Seg 3
0,0.0,0.32
1,0.1625824688740907,0.31999453829369556
2,0.16518654743546174,0.31998391419929034
3,0.16783624309117295,0.3199790161156335
4,0.17064707899334428,0.31997641787642284
5,0.17358121440740712,0.3199744819599465
6,0.17660692669940373,0.3199725211985411
7,0.1796932122026129,0.3199703264090655
8,0.18281128839475602,0.3199679069322965
9,0.18593715212011042,0.3199653520352152
10,0.1890528670324186,0.3199627615050866
11,0.19214706180046762,0.3199602141088819
12,0.19521383497540978,0.3199577554739019
13,0.1982513103489817,0.3199554002232341
14,0.2012604559336163,0.3199531371848473
15,0.20424433518888216,0.3199509393632655
16,0.20721346853005157,0.31994876333992406
17,0.2101555075175328,0.31994654858517785
18,0.2130725871803861,0.31994422572749737
19,0.21597384135471137,0.31994173463164105
20,0.218871742824821,0.31993904793087113
21,0.22176908575841559,0.31993613987516
22,0.2246667514312168,0.31993300661412155
23,0.22756495223496181,0.319929654941535
24,0.23046354236642427,0.3199261005280598
25,0.23336235333437316,0.3199223622880801
26,0.2362613118247419,0.3199184603289647
27,0.2391602202676798,0.3199144147025172
28,0.24205895124807042,0.31991024173827026
29,0.24495718660033056,0.3199059559532999
30,0.247855462978456,0.3199015755937864
31,0.2507646605059534,0.31989712466762527
32,0.2537037206043802,0.31989262757695575
33,0.25665590079297956,0.31988811546724016
34,0.25960036288271426,0.3198836097671794
35,0.2625418024785644,0.3198791250294267
36,0.2654830738438225,0.31987466958091815
37,0.26842555845608684,0.31987024706667117
38,0.2713696516093,0.31986585748871826
39,0.27431515471247464,0.3198614979200021
40,0.27726152486755806,0.31985772454425987
41,0.2803407473314501,0.3198555078605714
42,0.2836743009902317,0.3198514631590961
43,0.28651970022715423,0.31984895866585183
44,0.2897117907199199,0.31984619930752356
45,0.29268710937807707,0.3198447067315275
46,0.2961106511872902,0.31984234065545625
47,0.29883152024976034,0.3198408730049053
48,0.30229872234369926,0.3198387915312455
49,0.30521666821422105,0.3198382024864683
50,0.30871305991338227,0.3198369087566037
51,0.3114591326755662,0.3198372000807185
52,0.31527512696245985,0.31983619425798937
53,0.31788792041891983,0.31983466772052177
54,0.32129636624911073,0.3198353634254787
55,0.32450452604719593,0.3198348638060232
56,0.3277415610218939,0.31983471973857797
57,0.33103791854189313,0.31983509335797344
58,0.33420629346219455,0.3198359754192257
59,0.3370642901675501,0.3198364725669439
60,0.34041496125520476,0.31983723483038073
61,0.34318843680361344,0.3198386408983386
62,0.346893091986424,0.31983912273034154
63,0.34950873985895814,0.31983888817449424
64,0.35257040780051896,0.31984121845477137
65,0.3562063992193607,0.31984071385836144
66,0.3588621713871117,0.31984068528377785
67,0.3618523796058696,0.3198422979358282
68,0.3652940668379121,0.31984167803442143
69,0.3680198537638491,0.319841700350644
70,0.37118065420317087,0.3198418321077546
71,0.3742050383563066,0.3198418560596365
72,0.3772827656117246,0.31984213316469495
73,0.3800865904462437,0.3198417084051258
74,0.3830542587048986,0.3198413855998336
75,0.3860458818583693,0.31984094564040244
76,0.38902823904873207,0.31984014542136535
77,0.3919314359472119,0.31983932540216375
78,0.3948386361607512,0.31983811199023726
79,0.39784216759482627,0.3198372825220455
80,0.40097717936518323,0.3198367176603877
81,0.4041278586492207,0.3198356479825676
82,0.4068807244482695,0.3198346224025328
83,0.40991536249935756,0.3198336879245411
84,0.4129470451079331,0.31983236038253643
85,0.4159968361103231,0.31983127443796855
86,0.41892097695616193,0.3198300317324647
87,0.42189663928095433,0.3198288067940871
88,0.4249026186115211,0.31982755834943094
89,0.4278501753759153,0.31982602554346307
90,0.43092678124302364,0.3198247902226705
91,0.4338251499377648,0.3198232954472407
92,0.43682456805723124,0.31982180249280856
93,0.43993250510917414,0.31982038816478886
94,0.4428469953941162,0.3198192308730842
95,0.44629744525988313,0.31981800423643736
96,0.4491016117857215,0.3198168394171904
97,0.4522326453693128,0.3198157421172125
98,0.4554979871646991,0.3198149998005724
99,0.4582597424882904,0.3198138027431559
100,0.4616249804930648,0.3198131701296728
101,0.4645679874076489,0.319812208146501
102,0.46748079289807426,0.3198113830239579
103,0.4706929805205958,0.31981062092905926
104,0.4735290354308921,0.3198097666009479
105,0.47655889776587446,0.31980892590177123
106,0.47962241871936273,0.31980801533087344
107,0.48253651229165756,0.31980699785352334
108,0.48568492855275647,0.3198062580007397
109,0.48836761984249916,0.31980529811652797
110,0.49146024432186064,0.3198040648892705
111,0.49422949928939763,0.31980338152438204
112,0.49747382895277903,0.319801842106762
113,0.49999109901535016,0.31980016252908394
114,0.503084953383624,0.3197987107318202
115,0.505913060992898,0.3197971467496968
116,0.5087663732289576,0.319795494911034
117,0.5115478985081008,0.31979353160629914
118,0.5144314582738262,0.3197913874643973
119,0.5171658475570955,0.31978922522966485
120,0.5201013669838158,0.319786692795916
121,0.5227574142170106,0.31978399589007106
122,0.5256764944641793,0.3197812704211249
123,0.5282807763365948,0.3197783324315012
124,0.5311157975142126,0.31977509257536385
125,0.5337941334222517,0.31977202660077964
126,0.5365857719965403,0.31976828169457755
127,0.5391776966481807,0.3197646162474088
128,0.5421196386036535,0.3197605081457638
129,0.5445770266586222,0.31975668880664354
130,0.5476845117585913,0.3197521525594715
131,0.550057542104832,0.31974731527747874
132,0.552676588058941,0.3197432037108177
133,0.5558032428340075,0.31973763756450363
134,0.5582896323704639,0.31973241774225825
