Time,Tension in Muscle,Diameter of Seg 3
0,0.0,0.32
1,0.5600062816774236,0.31999098987636526
2,0.5684874107462734,0.3199696365988433
3,0.5767479758916315,0.3199536567130195
4,0.5856148984749251,0.31994109233117185
5,0.5950687876762853,0.3199306389675306
6,0.6049891899034358,0.31992147923323405
7,0.615222090028293,0.319913119004526
8,0.625620201211028,0.3199052680836561
9,0.6360630399380788,0.31989775677561744
10,0.6464634349436917,0.3198904786307342
11,0.6567658704161092,0.3198833567106381
12,0.6669407014697493,0.31987632364907526
13,0.6769772292292695,0.3198693126455365
14,0.6868776425466978,0.3198622539794265
15,0.6966553426934223,0.31985507679668645
16,0.706303942226583,0.31984769788502604
17,0.7157905998841801,0.31984002293352354
18,0.7251521762681724,0.31983195545149457
19,0.7344107439508203,0.319823409226707
20,0.7435934088117602,0.31981431778899033
21,0.7527238159131484,0.3198046475282175
22,0.7618041367952486,0.31979437050141307
23,0.7708336386017973,0.31978348130795575
24,0.7798125496711825,0.319771984782842
25,0.7887391256574492,0.31975989817816025
26,0.7976130865464255,0.3197472369078439
27,0.8064336086596597,0.31973401708340693
28,0.8151989434216622,0.31972025777132074
29,0.8239152292723358,0.31970599148658474
30,0.8326118856276421,0.31969122960041046
31,0.8412974045536001,0.3196760022109451
32,0.8499899700934381,0.3196603674606786
33,0.858733696945467,0.31964438093006137
34,0.8675563219944671,0.31962809852252727
35,0.8764742827016718,0.31961157503985993
36,0.8854770677175869,0.3195948563490131
37,0.8944666815015134,0.31957797774852337
38,0.9034145240552984,0.31956096070891393
39,0.9123284395179652,0.3195438190322769
40,0.921211258937314,0.31952655646725603
41,0.9300630601260491,0.3195091685595446
42,0.9388823489714195,0.3194916453374116
43,0.9476668444783596,0.31947397239058206
44,0.9564140977659104,0.31945613244422677
45,0.9651217915384112,0.3194381066542847
46,0.9737877915128096,0.3194198752330911
47,0.9824103549485241,0.31940141795433274
48,0.9909881340061738,0.31938271692110687
49,0.999520641058063,0.3193637539990985
50,1.008006894569086,0.3193445127687294
51,1.0164462201646158,0.3193249783055925
52,1.0248381393719213,0.31930513728096394
53,1.0331822919314244,0.31928497796690775
54,1.0414783818165936,0.3192644901732207
55,1.0497261411149594,0.319243665136434
56,1.057925308161269,0.3192224953776401
57,1.0660756173615251,0.3192009745432947
58,1.0741767986278954,0.3191790972408428
59,1.0822285845717756,0.3191568588788975
60,1.0902307467348873,0.3191342555260536
61,1.0981834414707312,0.3191112837877
62,1.1060868910760608,0.3190879407092956
63,1.1139409797952464,0.3190642236941675
64,1.12174540470263,0.3190401304401277
65,1.129499981097369,0.31901565888677563
66,1.137204656934673,0.3189911323506507
67,1.1453700078390168,0.3189674140842601
68,1.154134705749902,0.3189418375290065
69,1.1607804427078607,0.31891621053837926
70,1.1690251785207586,0.3188905760026627
71,1.1775778059468496,0.31886518228740823
72,1.1851743436596422,0.31883924948380504
73,1.1931788414958047,0.31881312409528123
74,1.2014323356991845,0.31878720193061943
75,1.2085079585571037,0.31876071167820885
76,1.216955614778045,0.31873392231644476
77,1.2250299086263399,0.31870712790356887
78,1.2327804155681672,0.3186800751926798
79,1.2404951250760825,0.3186527078337183
80,1.248722294708209,0.31862543657194625
81,1.2554922403701436,0.31859768450391396
82,1.2636916670032845,0.31856951668796146
83,1.2713644667599202,0.31854123975321086
84,1.2790923209934917,0.31851281404947573
85,1.2860730192469512,0.3184839718632971
86,1.2940471473946413,0.3184548937300941
87,1.3009546517681425,0.3184256537109938
88,1.308899899234168,0.3183958726720927
89,1.315509697500326,0.31836643304778073
90,1.3241455166478788,0.31833594087853057
91,1.3303963339079297,0.3183050290250092
92,1.337182733152082,0.31827480710850536
93,1.3462587513996416,0.31824346559425043
94,1.3522286298439954,0.31821179057218724
95,1.3591742862546439,0.3181797711118005
96,1.3661539080853213,0.3181480050576806
97,1.3740672262499416,0.31811552477591226
98,1.3807381505772256,0.3180827463968933
99,1.3875975007572325,0.3180496565130251
100,1.3944852337438647,0.31801658182013215
101,1.4021244683059244,0.3179830076806976
102,1.4088630505464568,0.3179491951894357
103,1.4157047484342953,0.31791507175078043
104,1.422602437495772,0.31788066972931767
105,1.4295454981738407,0.31784603972409786
106,1.4365967071162253,0.31781116499353534
107,1.443612095528205,0.31777607644939976
108,1.4506086265368907,0.31774076326844
109,1.4576005251638282,0.31770522992318906
110,1.4645959044045975,0.31766948304324366
111,1.4715983097805472,0.3176335299221758
112,1.4786083654085032,0.317597377772426
113,1.4856250292668238,0.3175610333243104
114,1.4926464715727126,0.31752450265738846
115,1.499670638315992,0.31748779117406994
116,1.5066955756440326,0.31745090364968226
117,1.5137195863631527,0.3174138443149263
118,1.5207412776052414,0.31737672616689216
119,1.5279982163691812,0.31733935995972795
120,1.534988979928859,0.31730188179467345
121,1.5421960428925519,0.31726432447550873
122,1.5490991853502303,0.3172265635647218
123,1.5564663705526984,0.3171887648011812
124,1.563524773635907,0.3171508090449837
125,1.5707915341543708,0.3171127740271164
126,1.5781599428419781,0.31707471731577636
127,1.5850004279806347,0.3170365583770365
128,1.5925711199491648,0.31699822018465623
129,1.5995225342449828,0.31695996666673826
130,1.6072574660066892,0.3169214814615108
131,1.6137817319259198,0.3168832695223955
132,1.622257533952643,0.3168445423284738
133,1.6284686908661494,0.31680561997223944
134,1.6359099884005666,0.3167673656127781
135,1.6439135671183256,0.3167281940054791
136,1.6506152814773882,0.31668943719070075
137,1.658138183469922,0.3166504434792295
138,1.664870523253026,0.3166116564022379
139,1.672906327376027,0.3165724900278235
140,1.679159664787583,0.3165335806963096
141,1.6877435660329834,0.31649424069547955
142,1.6938040807611883,0.31645464776527793
143,1.7016554921230391,0.3164154192145406
144,1.7088814011835693,0.3163759859838458
145,1.716030617303193,0.3163364550761786
146,1.7236067773239097,0.31629686490753384
147,1.730870404165063,0.31625712317280685
148,1.7385901286512035,0.3162177534499467
149,1.7443655930409394,0.3161777807319785
150,1.7520942835860949,0.31613793405889457
151,1.759593802329766,0.31609798517679577
152,1.7670126110339615,0.3160580901308385
153,1.7731976902119604,0.31601815599402894
154,1.7806583585089653,0.31597790862697767
155,1.7876149146789415,0.315937643187557
