Time,Tension in Muscle,Diameter of Seg 3
0,0.0,0.32
1,0.3251649377481814,0.31999307893112827
2,0.33025640431429737,0.31997803952036136
3,0.33534835964574705,0.31996857318299804
4,0.34077427011126016,0.31996185302051716
5,0.3464849214239782,0.3199563812549252
6,0.3524142410997574,0.3199514184540042
7,0.35848902033419283,0.31994663987482047
8,0.36464032157412357,0.3199419336609814
9,0.3708111443933942,0.3199372828257576
10,0.376959727058379,0.3199327029426246
11,0.383059288133652,0.31992820855627824
12,0.3890955481748084,0.3199237991896684
13,0.3950638062085856,0.3199194553355437
14,0.4009659371672781,0.31991514169061386
15,0.40680831899127456,0.3199108135334559
16,0.4126066621659841,0.31990641099648853
17,0.4183277943035517,0.3199018581044572
18,0.42398932033166226,0.3198970735139886
19,0.42960592335752235,0.31989198232525284
20,0.43520040076758904,0.3198865484194274
21,0.44078097418258616,0.3198807324991268
22,0.44634921338757577,0.3198745255430406
23,0.4519053536407228,0.319867927580655
24,0.4574484789795581,0.319860948923084
25,0.4629786028264993,0.31985360828767956
26,0.46849532874659194,0.3198459235587793
27,0.4739980403165631,0.3198379121419566
28,0.4794861479170319,0.31982959224889995
29,0.48495970546200534,0.31982098563824346
30,0.4904269995062339,0.31981210242672675
31,0.4959030428861255,0.3198029770607044
32,0.5014139992420813,0.3197936453104249
33,0.5069824584990654,0.3197841603714275
34,0.5126082270299362,0.31977456484121736
35,0.5182171155730986,0.3197648896902187
36,0.523811336300015,0.31975515826311995
37,0.5293964803059099,0.31974538537901975
38,0.5349750245511717,0.3197355779655026
39,0.5405475676192003,0.31972573675928584
40,0.5461134760183051,0.31971585750853476
41,0.5516714835586489,0.31970593165797795
42,0.5572199070411705,0.3196959489826881
43,0.5627577413889409,0.3196858967604678
44,0.5682835649513989,0.3196757614573096
45,0.5737961921556658,0.31966552923331465
46,0.5792947738854504,0.31965518602932025
47,0.5851448462117492,0.3196468588084902
48,0.5912664359830135,0.319636835479161
49,0.5964587172153081,0.31962676666408896
50,0.6020401315708426,0.3196189282414661
51,0.6083518462168017,0.3196078272142838
52,0.6140607296809781,0.3195988370386753
53,0.6197224841315595,0.3195896818631628
54,0.6252648397227709,0.3195804579475527
55,0.6314986203040887,0.3195717562915372
56,0.6366361293762838,0.31956271551917653
57,0.6427436796795283,0.3195534259900683
58,0.6485926930759613,0.3195444685535788
59,0.6544333471199232,0.31953567664295035
60,0.6598115950900261,0.31952666605156127
61,0.6658949683387086,0.3195177525607023
62,0.6711057539159488,0.3195090305749401
63,0.677296333417531,0.3194997204182308
64,0.6821663554359145,0.31949158331504873
65,0.689072426213775,0.31948183297049837
66,0.6935566730668126,0.31947161963772636
67,0.6988719018791103,0.31946386788587716
68,0.7058024169705339,0.31945306242734794
69,0.7102590383544329,0.319442589777926
70,0.715329213034859,0.31943320763540456
71,0.7217540506855977,0.31942252098264245
72,0.7264561814560714,0.31941154882454703
73,0.7314127391453127,0.31940135010405263
74,0.7376506868915638,0.31938999175238997
75,0.7422782208277519,0.3193783253555966
76,0.74723879344785,0.31936624815298637
77,0.7526229027438003,0.3193548523532993
78,0.7581934305705502,0.31934247934579624
79,0.762906765168269,0.31932976657667816
80,0.7678203468869054,0.31931665410100424
81,0.7728365380094797,0.3193036189954085
82,0.7781871495044298,0.3192899820985452
83,0.7830072678379303,0.3192760733663163
84,0.7879354571756438,0.31926181707376594
85,0.792906354138389,0.31924750181853095
86,0.7980198119761598,0.3192326539705473
87,0.8028880939206599,0.31921757075068724
88,0.807778730688192,0.319202167496742
89,0.8126839992120982,0.31918665304042854
90,0.8177701360852374,0.31917070608415643
91,0.822604757664334,0.3191545078694786
92,0.8274925512129936,0.31913823279922104
93,0.8326076402691134,0.3191215534079567
94,0.8374139809869798,0.3191046232190062
95,0.842355369144544,0.3190877492836589
96,0.8474617602113971,0.3190703087369461
97,0.8523466433536995,0.3190528815460118
98,0.857352652152924,0.31903521166503124
99,0.8624155290660649,0.3190174815853428
100,0.8672646890823119,0.31899945332322355
101,0.8724113261629334,0.3189813863560717
102,0.8773526570791934,0.31896311983169795
103,0.8823841655455265,0.31894472382226197
104,0.8874555247757261,0.3189262347352231
105,0.892365967292077,0.3189075130539724
106,0.8976587629205974,0.3188888840529403
107,0.9023096678130039,0.318869987573461
108,0.9075959761345562,0.3188509300014104
109,0.9126765286669694,0.3188318455493516
110,0.9176912520465209,0.3188126322882842
111,0.9227005477659407,0.31879326250226986
112,0.9279503285465862,0.3187739844760914
113,0.9326348570991806,0.3187544556504478
114,0.9378487934773141,0.31873473449313394
115,0.9429916626778505,0.3187150410198144
116,0.9478715116559541,0.3186951313459154
117,0.9530951753311967,0.3186752627053408
118,0.9578458082384251,0.31865510297128374
119,0.9631527709544756,0.31863503514154545
120,0.9678428180228946,0.31861468181860186
121,0.9730632490618187,0.31859431814088285
122,0.9781037865058784,0.31857389440493644
123,0.9824833910945748,0.3185534185143506
124,0.9879442430933996,0.31853250551324713
125,0.9922609260534432,0.3185120099368616
126,0.9981328689575591,0.31849074269192257
127,1.0022301844185963,0.31846922107518705
128,1.006928810649713,0.31844864239661946
129,1.0127706818092723,0.3184264808427093
130,1.0168880399554268,0.3184047686137254
131,1.0220987694922212,0.3183830746504437
132,1.0268551022049257,0.31836122381136056
133,1.0313385644434394,0.3183391607964095
134,1.036281125305844,0.3183168840301797
135,1.0411812541738976,0.318294603774517
136,1.045412322045696,0.31827218215222525
137,1.0506092049212852,0.3182493754129836
138,1.0547731335515236,0.3182268298203466
139,1.06035830367365,0.3182036461033844
140,1.0643234140361215,0.31818017661906445
141,1.0688422739894488,0.31815747616677803
142,1.0744377293450458,0.3181333631458713
143,1.078449606234457,0.3181096446412004
144,1.0834418369128593,0.31808590164438577
145,1.0880636198449247,0.31806199361214355
146,1.0921781887230828,0.3180380126247724
147,1.0973356908633087,0.31801363188270315
148,1.1013161511498881,0.31798954828909437
149,1.1068450721763816,0.3179647766406222
150,1.1105914183526024,0.3179397240671356
151,1.115072351957121,0.3179154772792057
152,1.1206026934335926,0.31788974023186667
153,1.1246656969898363,0.31786453913738383
154,1.1292533475311999,0.3178391716039965
155,1.1341136907958689,0.31781380978895085
156,1.1381123691195558,0.3177882756234849
157,1.1431383339270176,0.31776241118705056
158,1.1471657493074772,0.31773684996629054
159,1.15266652606951,0.31771066239543316
160,1.156322830677049,0.3176841561437302
161,1.161210939841624,0.31765817063544405
162,1.1659749294803994,0.31763140198368206
163,1.1706750938605803,0.3176048768659508
164,1.1750158181464578,0.317578216374188
165,1.1795919088436526,0.317551470525306
166,1.1840799395333237,0.317524445673149
167,1.1888210525770053,0.31749729997748694
168,1.1934800007277233,0.3174700841304328
169,1.1982769054354319,0.3174430402412063
170,1.2018053681578098,0.3174157203304063
171,1.2068660501222706,0.31738805274522813
172,1.2108625003620987,0.3173606720987921
173,1.2162200588347643,0.3173327877741769
174,1.2197822381272692,0.31730485551093096
175,1.2248381917164775,0.31727665801562743
176,1.2296238654262717,0.3172486638920634
177,1.2335690399524568,0.31722044547338374
178,1.2384752946702953,0.3171920417677251
179,1.2428734213581378,0.3171635469351504
180,1.2478005021725658,0.31713517201079333
181,1.2514690351477196,0.31710654238551306
182,1.2544670167651035,0.31707766525478487
183,1.2585600876618572,0.31704887374903057
184,1.262164341226716,0.3170198610791034
185,1.2672405525939792,0.3169904556209408
186,1.2708019974574611,0.3169613579012921
187,1.27613628294869,0.3169315510129089
188,1.279580117032226,0.3169013844824755
189,1.2853761371901704,0.3168714180760177
190,1.2902560137629413,0.3168412469330493
191,1.2949565473225924,0.31681099300045207
192,1.2998071797135597,0.31678073265112544
193,1.304281248858726,0.31675043570952965
194,1.3085382380762454,0.3167198890497519
195,1.3132961853659086,0.31668932534387706
196,1.3180325715472798,0.31665880296662335
197,1.3219579870560496,0.31662829124533437
198,1.3273386796994624,0.31659755414795177
199,1.3318306931457897,0.31656722787708896
200,1.3385992277035308,0.31653636700904886
201,1.3414587339506774,0.31650526002365104
202,1.345567109388702,0.31647525115963826
203,1.3516714788628328,0.31644391943120925
204,1.3547646236335769,0.31641278405701934
205,1.3595828705740822,0.3163820564775398
206,1.3637447859855862,0.31635134199719583
207,1.3684975625052573,0.3163200653758999
208,1.3728762120613638,0.31628900920014535
209,1.377238234473134,0.3162579053481952
210,1.3815577251038957,0.31622675655609456
211,1.385872633890641,0.3161955888708612
212,1.3903783279871635,0.31616402754152567
213,1.394711743665309,0.31613273218690063
214,1.399136661897493,0.3161010058824855
215,1.4035963906208373,0.31606962161553975
216,1.4082067714106943,0.31603764018196545
217,1.4121813137818777,0.31600598130340407
218,1.4167639683469988,0.31597412961684646
219,1.4212975823031024,0.3159419194515035
220,1.4255142610144518,0.3159100157781777
221,1.430075841095475,0.3158777242913185
222,1.4343324732356106,0.3158456564136773
223,1.4389652046904637,0.3158131922038384
224,1.443211347008662,0.3157809249717411
225,1.4478055245899737,0.31574840265507936
226,1.4519446083053698,0.31571611921320475
227,1.4569017081548847,0.31568316841783395
228,1.4612495499605032,0.31565056199987257
229,1.4660446703957923,0.315617834648036
230,1.470375621632821,0.3155849839464243
231,1.4752350350737997,0.3155523095643464
232,1.4791980144848917,0.31551961878380785
233,1.4827573936253364,0.3154867471462023
234,1.4877937867460251,0.3154536647344825
